,train_mae,test_mae,frobenius_norm,margin,train-test mae,weight_decay
0,1.1694416999816897,1.172106146812439,12.482751846313477,0.0801105407134508,-0.0026644468307495,0.0001
1,1.1692684888839722,1.1760494709014893,2.7044036388397217,0.3697672882991065,-0.006780982017517,0.00015
2,0.9822149276733398,1.1968766450881958,18.28175544738769,0.0546993423513326,-0.2146617174148559,0.0002
3,1.169525146484375,1.1671808958053589,2.603357076644897,0.3841194160306123,0.0023442506790161,0.00025
4,1.1696300506591797,1.1713459491729736,11.208282470703123,0.089219735727919,-0.0017158985137939,0.0003
5,1.1694695949554443,1.1697920560836792,5.358632564544678,0.18661477307037,-0.0003224611282348,0.00035
6,1.1693272590637207,1.1705992221832275,11.3184232711792,0.0883515288340878,-0.0012719631195068,0.0004
7,1.1694740056991575,1.1727758646011353,2.6730103492736816,0.3741100367500346,-0.0033018589019775,0.00045
8,0.9237027764320374,0.9196901321411132,10.291380882263184,0.0971686901340385,0.004012644290924,0.0005
9,0.9723981022834778,0.9831753373146056,10.8429536819458,0.0922257928358638,-0.0107772350311279,0.00055
10,1.1598042249679563,1.119843363761902,8.633108139038086,0.1158331372542521,0.0399608612060546,0.0006
11,1.169383525848389,1.168937921524048,2.628690242767334,0.3804175873332483,0.0004456043243408,0.00065
12,1.1694166660308838,1.1700799465179443,2.642829179763794,0.3783823819023279,-0.0006632804870605,0.0007
13,1.1695646047592163,1.1696640253067017,2.6378729343414307,0.3790933168089308,-9.942054748535156e-05,0.00075
14,0.9589171409606934,0.9567010402679444,8.730423927307129,0.1145419750892264,0.002216100692749,0.0008
15,1.1694307327270508,1.1687473058700562,2.6259000301361084,0.380821809102979,0.0006834268569946,0.00085
16,1.1128156185150146,1.1683119535446167,6.926269054412842,0.1443778738804383,-0.055496335029602,0.0009
17,1.1692861318588257,1.1760436296463013,2.7044432163238525,0.3697618770340828,-0.0067574977874755,0.00095
18,1.1693559885025024,1.172896385192871,2.674510717391968,0.3739001655507081,-0.0035403966903686,0.001
19,0.9553297758102416,0.9383531808853148,8.290390968322754,0.1206215730742927,0.0169765949249267,0.0015
20,1.1694236993789673,1.1716938018798828,2.661487102508545,0.3757297937147488,-0.0022701025009155,0.002
21,1.169120192527771,1.1721550226211548,2.666545867919922,0.3750169880933136,-0.0030348300933837,0.0025
22,1.1691091060638428,1.172739028930664,2.6727499961853027,0.3741464788802752,-0.0036299228668212,0.003
23,1.169039964675903,1.1708253622055054,2.651655435562134,0.3771229046537136,-0.001785397529602,0.0035
24,1.1689984798431396,1.1732224225997925,2.6775636672973637,0.3734738457253433,-0.0042239427566528,0.004
25,0.9408608078956604,0.932174265384674,5.336728096008301,0.1873807287929785,0.0086865425109863,0.0045
26,0.965883731842041,0.9445531368255616,4.955135345458984,0.2018108346760752,0.0213305950164794,0.005
27,1.1695793867111206,1.1624934673309326,2.402100086212158,0.4163023871236305,0.0070859193801879,0.0055
28,0.9133399724960328,0.97131085395813,7.059502601623535,0.14165303937561,-0.0579708814620971,0.006
29,1.1686453819274902,1.1664317846298218,2.591152667999268,0.3859286302771731,0.0022135972976684,0.0065
30,0.9486604332923888,0.9309475421905518,5.207003593444824,0.1920490320496254,0.0177128911018371,0.007
31,1.1684086322784424,1.1753512620925903,2.6983704566955566,0.3705940366781983,-0.0069426298141479,0.0075
32,0.942900538444519,0.9328374862670898,4.699943542480469,0.212768513272871,0.0100630521774292,0.008
33,1.1682178974151611,1.1753531694412231,2.6982364654541016,0.3706124399411021,-0.007135272026062,0.0085
34,0.9540490508079528,0.9485804438591005,6.199267864227295,0.1613093710259678,0.0054686069488525,0.009
35,1.1681694984436035,1.1733064651489258,2.678621530532837,0.3733263503639045,-0.0051369667053222,0.0095
36,1.168066143989563,1.1732869148254397,2.678426742553711,0.3733535004383069,-0.0052207708358764,0.01
37,0.9507726430892944,0.9539982080459596,4.367208480834961,0.2289792219419786,-0.003225564956665,0.015
38,1.1669459342956543,1.1719691753387451,2.664781332015991,0.3752653127615047,-0.0050232410430908,0.02
39,1.1665102243423462,1.1712369918823242,2.6564762592315674,0.376438523222213,-0.004726767539978,0.025
40,1.1659985780715942,1.168869137763977,2.6277880668640137,0.380548192835579,-0.0028705596923828,0.03
41,0.9858400821685792,1.1337239742279053,4.6755051612854,0.2138806322534521,-0.1478838920593261,0.035
42,1.1707230806350708,1.1931004524230957,2.057741165161133,0.4859697696341193,-0.0223773717880249,0.04
43,1.175280213356018,1.1680635213851929,1.7823638916015625,0.5610526586136342,0.0072166919708251,0.045
44,1.1740715503692627,1.1754618883132937,1.8428776264190676,0.5426296275261208,-0.0013903379440307,0.05
45,1.167567491531372,1.1701639890670776,2.101408004760742,0.4758714146584094,-0.0025964975357055,0.055
46,1.175382375717163,1.173375964164734,1.7283623218536377,0.5785823882850663,0.0020064115524291,0.06
47,1.1761643886566162,1.1839804649353027,1.7311745882034302,0.57764249014178,-0.0078160762786865,0.065
48,1.1758043766021729,1.1774970293045044,1.7088003158569336,0.5852058843391057,-0.0016926527023315,0.07
49,1.1765305995941162,1.1903443336486816,1.7400418519973757,0.5746988205209609,-0.0138137340545654,0.075
50,1.0122630596160889,1.0915791988372805,3.0982565879821777,0.3227621636887333,-0.0793161392211914,0.08
51,1.177419900894165,1.1733022928237915,1.7429755926132202,0.5737314993038504,0.0041176080703735,0.085
52,1.178126096725464,1.1769700050354004,1.842768669128418,0.5426617115608842,0.0011560916900634,0.09
53,1.1772611141204834,1.1706205606460571,1.6203835010528564,0.6171378561619779,0.0066405534744262,0.095
54,1.178569793701172,1.1823792457580566,1.654524564743042,0.6044032354124076,-0.0038094520568847,0.1
55,1.1696025133132937,1.1713894605636597,2.6587135791778564,0.3761217484394186,-0.0017869472503662,1.5e-05
56,1.169951319694519,1.1839641332626345,22.81775665283203,0.0438255177848907,-0.0140128135681152,1.5e-06
57,1.1697146892547607,1.168837547302246,3.261922597885132,0.3065676667644874,0.0008771419525146,1e-05
58,1.1696721315383911,1.1766674518585205,5.187768459320068,0.192761108719772,-0.0069953203201293,1e-06
59,1.169474482536316,1.175555944442749,2.6998798847198486,0.3703868478222187,-0.0060814619064331,2.5e-05
60,1.1696125268936155,1.172857642173767,17.202306747436523,0.058131738648889,-0.0032451152801513,2.5e-06
61,1.1706852912902832,1.1677343845367432,17.300851821899414,0.0578006222060234,0.00295090675354,2e-05
62,1.1693331003189087,1.1774539947509766,6.473152160644531,0.1544842412449069,-0.0081208944320678,2e-06
63,1.1698217391967771,1.176216959953308,8.96104907989502,0.1115940768858856,-0.0063952207565307,3.5e-05
64,1.1694886684417725,1.172594428062439,6.532638549804688,0.1530775034277532,-0.0031057596206665,3.5e-06
65,1.1694926023483276,1.1758190393447876,15.632662773132324,0.0639686286663004,-0.0063264369964599,3e-05
66,1.169790506362915,1.170638084411621,22.1747989654541,0.0450962374701971,-0.000847578048706,3e-06
67,1.1694955825805664,1.175437569618225,3.453261613845825,0.2895813036552191,-0.0059419870376586,4.5e-05
68,1.1693649291992188,1.170384407043457,2.6465139389038086,0.377855557569518,-0.0010194778442382,4.5e-06
69,1.1695165634155271,1.173176646232605,2.7113051414489746,0.3688260626635261,-0.0036600828170776,4e-05
70,1.1695258617401123,1.172288417816162,2.667755365371704,0.3748469642232986,-0.0027625560760498,4e-06
71,0.941342830657959,0.9380289316177368,19.108848571777344,0.052331776885654,0.0033138990402221,5.5e-05
72,1.169437289237976,1.1726845502853394,2.671918630599976,0.3742628942916017,-0.0032472610473632,5.5e-06
73,1.1693795919418335,1.1743086576461792,2.811163663864136,0.3557245751481548,-0.0049290657043457,5e-05
74,1.1698739528656006,1.1744070053100586,17.902280807495117,0.0558588042916482,-0.004533052444458,5e-06
75,1.1349533796310425,1.17802894115448,11.86659049987793,0.0842702038138323,-0.0430755615234375,6.5e-05
76,1.1693443059921265,1.1695269346237185,21.34068298339844,0.0468588564282563,-0.0001826286315917,6.5e-06
77,1.1694964170455933,1.171621561050415,2.6605184078216557,0.3758665969234045,-0.0021251440048217,6e-05
78,1.169454574584961,1.166712760925293,5.396406650543213,0.1853084959598695,0.0027418136596679,6e-06
79,1.1694682836532593,1.175389528274536,2.714785099029541,0.3683532815755736,-0.0059212446212768,7.5e-05
80,1.169593334197998,1.1725072860717771,2.670067548751831,0.3745223601056337,-0.0029139518737792,7.5e-06
81,1.1693341732025146,1.1773096323013306,2.719372034072876,0.3677319570365197,-0.0079754590988159,7e-05
82,1.0621416568756104,1.082309007644653,29.92987632751465,0.033411431074999,-0.0201673507690429,7e-06
83,1.1699286699295044,1.1791374683380127,11.818408012390137,0.0846137651493859,-0.0092087984085083,8.5e-05
84,0.9868555068969728,0.9856160879135132,25.27011489868164,0.0395724358203124,0.0012394189834594,8.5e-06
85,1.1694459915161133,1.1733826398849487,2.7157998085021973,0.3682156530350131,-0.0039366483688354,8e-05
86,1.169611573219299,1.1708985567092896,15.057560920715332,0.066411818306128,-0.0012869834899902,8e-06
87,1.169499158859253,1.1707526445388794,11.886622428894045,0.0841281874630085,-0.0012534856796264,9.5e-05
88,1.169380784034729,1.173618197441101,21.303800582885746,0.0469399812540182,-0.004237413406372,9.5e-06
89,1.1694413423538208,1.1750690937042236,2.6954424381256104,0.3709966074049766,-0.0056277513504028,9e-05
90,1.169542908668518,1.1723153591156006,2.78535532951355,0.3590206209613643,-0.0027724504470825,9e-06
